City,Day,Date,Day_Temp,Weather,Rain_Chance,RealFeel,Wind,UV_Index,UV_Status
"Qarshi, Qashqadaryo",Dush,19/01,3°,/-3°,23%,2°,WNW 7 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Sesh,20/01,7°,/2°,22%,5°,NE 11 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Chor,21/01,7°,/-3°,62%,5°,N 19 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Pay,22/01,0°,/-7°,60%,-5°,SSW 15 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Jum,23/01,1°,/-6°,1%,0°,ESE 9 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Shan,24/01,9°,/1°,25%,4°,SSE 15 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Yak,25/01,11°,/2°,12%,11°,SE 7 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Dush,26/01,7°,/-1°,25%,9°,WNW 6 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Sesh,27/01,5°,/0°,25%,6°,ENE 6 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Chor,28/01,7°,/-2°,0%,8°,E 6 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Pay,29/01,15°,/3°,1%,14°,SE 9 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Jum,30/01,15°,/6°,2%,15°,S 9 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Shan,31/01,10°,/3°,25%,6°,S 20 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Yak,01/02,11°,/1°,55%,11°,NNW 6 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Dush,02/02,7°,/1°,25%,5°,NNE 11 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Sesh,03/02,6°,/2°,55%,7°,W 6 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Chor,04/02,7°,/-3°,79%,4°,W 13 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Pay,05/02,5°,/-4°,20%,7°,SE 6 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Jum,06/02,5°,/-4°,10%,5°,ENE 7 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Shan,07/02,6°,/-4°,25%,7°,ESE 7 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Yak,08/02,7°,/-3°,25%,7°,ESE 7 km/soat,3.0,Oʻrtacha
"Qarshi, Qashqadaryo",Dush,09/02,11°,/4°,55%,9°,S 17 km/soat,2.0,Yaxshi
"Qarshi, Qashqadaryo",Sesh,10/02,13°,/4°,55%,14°,SE 7 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Chor,11/02,10°,/2°,25%,10°,E 6 km/soat,2.0,Yaxshi
"Qarshi, Qashqadaryo",Pay,12/02,13°,/4°,61%,11°,SSW 17 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Jum,13/02,12°,/4°,60%,13°,ENE 6 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Shan,14/02,12°,/1°,67%,10°,WNW 9 km/soat,1.0,Yaxshi
"Qarshi, Qashqadaryo",Yak,15/02,8°,/-1°,25%,9°,WSW 4 km/soat,2.0,Yaxshi
"Qarshi, Qashqadaryo",Dush,16/02,7°,/-1°,5%,6°,NE 7 km/soat,4.0,Oʻrtacha
"Qarshi, Qashqadaryo",Sesh,17/02,14°,/5°,5%,12°,SSE 17 km/soat,4.0,Oʻrtacha
